City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Gbadolite,4.2833,21.0167,71.28,95,100,1.57,CD,2022-10-04 20:50:24
1,Vao,-22.6667,167.4833,68.29,61,6,10.8,NC,2022-10-04 20:50:25
2,Ushuaia,-54.8,-68.3,56.86,41,20,9.22,AR,2022-10-04 20:49:39
3,Hobart,-42.8794,147.3294,42.06,88,40,12.66,AU,2022-10-04 20:47:08
4,Bonfim,3.0833,-59.95,86.79,63,81,2.04,BR,2022-10-04 20:50:27
5,San Patricio,28.017,-97.5169,87.19,36,95,8.59,US,2022-10-04 20:50:28
6,Twentynine Palms,34.1356,-116.0542,94.06,28,5,4.0,US,2022-10-04 20:48:57
7,La Carolina,38.2756,-3.6153,71.29,28,11,3.31,ES,2022-10-04 20:50:29
8,Bluff,-46.6,168.3333,37.8,82,100,29.08,NZ,2022-10-04 20:50:30
9,Tuktoyaktuk,69.4541,-133.0374,33.8,80,40,13.8,CA,2022-10-04 20:50:30
10,Narsaq,60.9167,-46.05,34.2,81,100,10.87,GL,2022-10-04 20:50:31
11,Katangli,51.7102,143.2326,29.32,87,62,14.47,RU,2022-10-04 20:50:31
12,Henties Bay,-22.116,14.2845,54.54,92,1,7.0,NA,2022-10-04 20:50:32
13,Salalah,17.0151,54.0924,78.01,84,62,5.39,OM,2022-10-04 20:50:33
14,Cayenne,4.9333,-52.3333,86.04,66,0,12.66,GF,2022-10-04 20:45:37
15,Hithadhoo,-0.6,73.0833,82.31,71,99,17.47,MV,2022-10-04 20:50:33
16,Nizwa,22.9333,57.5333,76.26,59,0,0.85,OM,2022-10-04 20:50:34
17,Margate,51.3813,1.3862,61.3,85,100,5.01,GB,2022-10-04 20:50:34
18,Katsuura,35.1333,140.3,77.16,86,100,17.85,JP,2022-10-04 20:50:35
19,Mount Pleasant,32.7941,-79.8626,73.99,45,0,8.05,US,2022-10-04 20:50:35
20,Cabedelo,-6.9811,-34.8339,81.27,74,31,11.56,BR,2022-10-04 20:50:36
21,Cape Town,-33.9258,18.4232,57.9,59,0,8.05,ZA,2022-10-04 20:50:39
22,Rikitea,-23.1203,-134.9692,69.71,62,72,24.32,PF,2022-10-04 20:50:40
23,Dikson,73.5069,80.5464,33.4,90,100,18.92,RU,2022-10-04 20:50:40
24,Angoram,-4.0625,144.0661,75.07,96,96,1.61,PG,2022-10-04 20:50:41
25,Senneterre,48.3835,-77.2328,59.32,69,91,4.41,CA,2022-10-04 20:50:42
26,Jardim,-21.4803,-56.1381,84.92,49,5,1.95,BR,2022-10-04 20:50:42
27,Rio Branco,-9.9747,-67.81,95.61,41,40,4.61,BR,2022-10-04 20:50:43
28,Russell,32.3502,-85.1999,78.96,44,0,4.61,US,2022-10-04 20:50:43
29,Smolenka,52.1352,113.4974,19.47,79,24,2.24,RU,2022-10-04 20:50:44
30,Tansen,27.8673,83.5467,63.09,99,100,2.71,NP,2022-10-04 20:50:44
31,Monte Escobedo,22.3,-103.5833,70.03,41,45,7.31,MX,2022-10-04 20:46:19
32,Airai,-8.9266,125.4092,61.07,88,98,1.77,TL,2022-10-04 20:50:46
33,Lufkin,31.3382,-94.7291,86.32,29,0,0.0,US,2022-10-04 20:50:47
34,Butaritari,3.0707,172.7902,81.03,77,17,13.0,KI,2022-10-04 20:50:47
35,Suntar,62.1444,117.6319,26.42,71,26,7.94,RU,2022-10-04 20:50:48
36,Port Lincoln,-34.7333,135.8667,57.13,94,19,9.28,AU,2022-10-04 20:50:48
37,Bredasdorp,-34.5322,20.0403,49.51,80,0,3.6,ZA,2022-10-04 20:50:49
38,Atuona,-9.8,-139.0333,76.41,71,16,20.8,PF,2022-10-04 20:50:49
39,Khatanga,71.9667,102.5,22.51,97,100,5.86,RU,2022-10-04 20:50:50
40,Deputatskiy,69.3,139.9,-1.32,98,62,4.0,RU,2022-10-04 20:50:50
41,Olenino,56.2092,33.4889,39.43,98,100,2.28,RU,2022-10-04 20:50:51
42,Talas,38.6908,35.5538,57.87,67,40,2.3,TR,2022-10-04 20:50:51
43,Hervey Bay,-25.2986,152.8535,67.08,63,27,8.63,AU,2022-10-04 20:50:52
44,Albany,42.6001,-73.9662,58.24,65,100,4.27,US,2022-10-04 20:48:19
45,Komsomolskiy,40.4272,71.7189,63.32,34,54,6.91,UZ,2022-10-04 20:51:53
46,Tahlequah,35.9154,-94.97,89.82,11,0,0.0,US,2022-10-04 20:51:42
47,Inhambane,-23.865,35.3833,72.19,92,5,5.17,MZ,2022-10-04 20:51:53
48,Hilo,19.7297,-155.09,90.28,69,75,9.22,US,2022-10-04 20:51:54
49,Puerto Escondido,15.85,-97.0667,84.56,67,37,3.98,MX,2022-10-04 20:51:55
50,Vaini,-21.2,-175.2,78.96,83,40,4.61,TO,2022-10-04 20:51:55
51,Padang,-0.9492,100.3543,74.77,88,100,4.45,ID,2022-10-04 20:51:56
52,La Ronge,55.1001,-105.2842,62.85,42,40,6.91,CA,2022-10-04 20:51:56
53,Redmond,47.674,-122.1215,58.48,40,100,2.66,US,2022-10-04 20:49:25
54,Tsabong,-26.0217,22.401,72.39,15,3,9.55,BW,2022-10-04 20:51:57
55,Broome,42.2506,-75.833,56.14,70,100,11.5,US,2022-10-04 20:51:57
56,Barreirinha,-2.7933,-57.07,86.67,52,75,1.88,BR,2022-10-04 20:51:58
57,Hay River,60.8156,-115.7999,44.58,76,75,12.66,CA,2022-10-04 20:49:09
58,Georgetown,5.4112,100.3354,77.9,95,20,0.0,MY,2022-10-04 20:49:44
59,Port Elizabeth,-33.918,25.5701,58.32,88,0,3.44,ZA,2022-10-04 20:52:00
60,Sao Joao Da Barra,-21.6403,-41.0511,75.29,94,87,4.68,BR,2022-10-04 20:52:00
61,Chapais,49.7834,-74.8492,49.78,99,100,3.44,CA,2022-10-04 20:47:48
62,Yuci,37.6803,112.7319,46.15,61,0,8.95,CN,2022-10-04 20:52:01
63,Loikaw,19.6742,97.2094,64.96,97,12,2.13,MM,2022-10-04 20:52:02
64,Ribeira Grande,38.5167,-28.7,72.0,78,20,12.66,PT,2022-10-04 20:52:02
65,Buala,-8.145,159.5921,81.75,77,69,11.36,SB,2022-10-04 20:52:03
66,Iqaluit,63.7506,-68.5145,37.13,86,100,6.91,CA,2022-10-04 20:52:04
67,Port Alfred,-33.5906,26.891,58.17,89,97,11.97,ZA,2022-10-04 20:52:04
68,Kampene,-3.6,26.6667,69.06,94,100,1.7,CD,2022-10-04 20:52:05
69,Yellowknife,62.456,-114.3525,37.92,65,75,9.22,CA,2022-10-04 20:49:20
70,Kodiak,57.79,-152.4072,53.11,94,100,21.85,US,2022-10-04 20:52:05
71,Mar Del Plata,-38.0023,-57.5575,57.94,70,0,14.97,AR,2022-10-04 20:52:06
72,Latung,5.5,120.8833,83.21,74,97,5.3,PH,2022-10-04 20:52:06
73,Mataura,-46.1927,168.8643,37.47,97,100,10.42,NZ,2022-10-04 20:52:07
74,Tabuk,17.4189,121.4443,73.36,95,50,2.01,PH,2022-10-04 20:52:08
75,Ponta Do Sol,32.6667,-17.1,73.71,80,35,2.06,PT,2022-10-04 20:52:08
76,Namatanai,-3.6667,152.4333,81.1,79,100,10.09,PG,2022-10-04 20:52:09
77,Nanortalik,60.1432,-45.2371,36.75,96,100,14.5,GL,2022-10-04 20:52:09
78,Saldanha,-33.0117,17.9442,51.85,66,0,14.16,ZA,2022-10-04 20:52:10
79,Busselton,-33.65,115.3333,56.5,71,97,14.29,AU,2022-10-04 20:52:12
80,Auki,-8.7676,160.7034,80.67,77,48,3.78,SB,2022-10-04 20:52:13
81,Severo-Kurilsk,50.6789,156.125,51.37,96,100,9.66,RU,2022-10-04 20:52:13
82,Saint-Philippe,-21.3585,55.7679,66.11,80,40,10.98,RE,2022-10-04 20:52:14
83,Brusque,-27.0981,-48.9175,67.1,83,92,3.44,BR,2022-10-04 20:52:14
84,Codrington,-38.2667,141.9667,51.93,87,100,19.71,AU,2022-10-04 20:52:15
85,Puerto Ayora,-0.7393,-90.3518,78.76,88,80,8.01,EC,2022-10-04 20:52:15
86,Cidreira,-30.1811,-50.2056,61.23,75,0,9.04,BR,2022-10-04 20:52:16
87,Hovd,48.0056,91.6419,27.14,32,27,0.36,MN,2022-10-04 20:52:16
88,Geraldton,-28.7667,114.6,55.81,94,100,8.05,AU,2022-10-04 20:52:17
89,Mehamn,71.0357,27.8492,42.71,81,0,9.22,NO,2022-10-04 20:52:17
90,Esperance,-33.8667,121.9,56.25,86,2,16.2,AU,2022-10-04 20:52:18
91,Awjilah,29.1081,21.2869,74.71,54,0,12.39,LY,2022-10-04 20:53:18
92,Kapaa,22.0752,-159.319,82.38,72,14,5.99,US,2022-10-04 20:53:19
93,Dharchula,29.85,80.5333,64.38,79,9,4.36,IN,2022-10-04 20:53:19
94,Casper,42.8666,-106.3131,66.72,41,5,5.01,US,2022-10-04 20:53:20
95,Faya,18.3851,42.4509,66.31,31,16,5.95,SA,2022-10-04 20:53:20
96,Tingo Maria,-9.2895,-76.0088,83.86,61,75,3.69,PE,2022-10-04 20:53:21
97,San Quintin,30.4833,-115.95,73.02,74,9,12.01,MX,2022-10-04 20:53:22
98,Skjervoy,70.0311,20.9714,46.4,77,4,20.33,NO,2022-10-04 20:53:22
99,Yantzaza,-3.8278,-78.7594,86.32,43,100,2.3,EC,2022-10-04 20:53:23
100,Nizhniy Baskunchak,48.2198,46.8311,59.27,50,100,11.63,RU,2022-10-04 20:53:24
101,Buchanan,5.8808,-10.0467,77.2,91,32,6.71,LR,2022-10-04 20:53:24
102,Souillac,-20.5167,57.5167,71.98,78,75,8.05,MU,2022-10-04 20:53:25
103,Mabaruma,8.2,-59.7833,81.46,80,77,5.12,GY,2022-10-04 20:53:25
104,Sompeta,18.9333,84.6,79.41,88,100,1.36,IN,2022-10-04 20:53:26
105,Faanui,-16.4833,-151.75,77.5,77,23,23.0,PF,2022-10-04 20:53:26
106,Roblin,51.23,-101.3565,67.3,48,97,8.68,CA,2022-10-04 20:53:27
107,Lumphat,13.4878,106.9816,71.89,90,95,3.78,KH,2022-10-04 20:53:27
108,Soyo,-6.1349,12.3689,75.92,85,24,7.0,AO,2022-10-04 20:53:28
109,Necochea,-38.5473,-58.7368,62.85,52,21,11.97,AR,2022-10-04 20:53:28
110,Seoul,37.5683,126.9778,58.39,91,75,4.61,KR,2022-10-04 20:53:29
111,Srednekolymsk,67.45,153.6833,17.13,90,10,7.74,RU,2022-10-04 20:53:29
112,Campbeltown,55.4258,-5.6076,53.65,91,100,10.96,GB,2022-10-04 20:53:30
113,Makat,47.6469,53.3463,55.99,26,89,17.18,KZ,2022-10-04 20:53:30
114,Yanliang,34.6592,109.2292,49.19,83,100,11.32,CN,2022-10-04 20:53:31
115,Nikolskoye,59.7035,30.7861,43.81,95,76,1.36,RU,2022-10-04 20:53:31
116,Asau,46.4333,26.4,49.28,85,87,4.56,RO,2022-10-04 20:53:32
117,Quatre Cocos,-20.2078,57.7625,71.71,80,50,12.39,MU,2022-10-04 20:53:32
118,Hofn,64.2539,-15.2082,46.76,87,100,11.54,IS,2022-10-04 20:53:33
119,Oranjemund,-28.55,16.4333,56.3,86,2,14.67,NA,2022-10-04 20:53:34
120,Udachnyy,66.4167,112.4,28.45,79,100,9.84,RU,2022-10-04 20:53:34
121,Poperinge,50.8549,2.6875,60.4,84,99,3.0,BE,2022-10-04 20:53:35
122,Castro,-24.7911,-50.0119,64.63,71,0,1.01,BR,2022-10-04 20:53:35
123,Yoichi,43.2039,140.7703,48.2,67,93,12.39,JP,2022-10-04 20:53:36
124,Yumen,40.2833,97.2,45.68,41,100,6.89,CN,2022-10-04 20:53:36
125,Weligama,5.9667,80.4167,77.79,89,100,11.5,LK,2022-10-04 20:53:37
126,Takoradi,4.8845,-1.7554,76.08,92,99,7.78,GH,2022-10-04 20:53:37
127,Sterling,39.0062,-77.4286,54.01,81,100,14.97,US,2022-10-04 20:52:39
128,Barrow,71.2906,-156.7887,28.42,86,100,9.22,US,2022-10-04 20:53:38
129,Clyde River,70.4692,-68.5914,26.83,86,75,18.41,CA,2022-10-04 20:53:38
130,Hermanus,-34.4187,19.2345,50.81,68,0,1.32,ZA,2022-10-04 20:53:39
131,Salinopolis,-0.6136,-47.3561,80.65,75,43,11.05,BR,2022-10-04 20:52:22
132,Launceston,-41.45,147.1667,40.33,84,35,6.91,AU,2022-10-04 20:53:40
133,Chuy,-33.6971,-53.4616,58.8,74,15,8.3,UY,2022-10-04 20:51:11
134,Vangaindrano,-23.35,47.6,67.5,92,3,7.61,MG,2022-10-04 20:53:41
135,Grindavik,63.8424,-22.4338,44.55,81,75,32.21,IS,2022-10-04 20:53:41
136,Outlook,51.5001,-107.0513,79.23,34,18,10.71,CA,2022-10-04 20:53:42
137,Inuvik,68.3499,-133.7218,36.46,74,40,14.97,CA,2022-10-04 20:54:42
138,Moron,-34.6534,-58.6198,69.94,61,0,11.36,AR,2022-10-04 20:53:52
139,Arraial Do Cabo,-22.9661,-42.0278,73.26,73,75,8.05,BR,2022-10-04 20:54:43
140,Astana,51.1801,71.446,35.55,55,0,2.24,KZ,2022-10-04 20:52:46
141,Acaponeta,22.4964,-105.3594,88.34,57,13,4.54,MX,2022-10-04 20:54:43
142,Hobyo,5.3505,48.5268,76.82,89,35,17.11,SO,2022-10-04 20:54:44
143,Touros,-5.1989,-35.4608,77.61,72,72,15.41,BR,2022-10-04 20:54:45
144,Petropavlovsk-Kamchatskiy,53.0452,158.6483,46.99,100,100,13.42,RU,2022-10-04 20:54:45
145,Parrita,9.5201,-84.3225,82.74,77,99,6.87,CR,2022-10-04 20:54:46
146,Kieta,-6.2167,155.6333,81.54,79,96,7.63,PG,2022-10-04 20:54:47
147,Tangjiazhuang,39.7333,118.45,40.62,34,4,4.59,CN,2022-10-04 20:54:47
148,Pierre,44.3683,-100.351,58.12,94,100,8.05,US,2022-10-04 20:54:48
149,Vila Velha,-20.3297,-40.2925,75.15,88,40,8.05,BR,2022-10-04 20:52:12
150,Dingle,10.9995,122.6711,75.94,90,100,5.5,PH,2022-10-04 20:54:49
151,Svetlogorsk,52.6333,29.7333,45.68,92,100,8.72,BY,2022-10-04 20:54:49
152,Los Llanos De Aridane,28.6585,-17.9182,74.95,41,94,6.91,ES,2022-10-04 20:54:50
153,Wainwright,52.839,-110.8572,72.32,27,12,12.97,CA,2022-10-04 20:54:50
154,Bandar,2.05,99.75,72.41,99,100,2.66,ID,2022-10-04 20:54:51
155,Tasiilaq,65.6145,-37.6368,24.26,63,63,7.61,GL,2022-10-04 20:54:51
156,Poco Das Trincheiras,-9.3125,-37.2856,78.55,58,10,15.26,BR,2022-10-04 20:54:51
157,Flinders,-34.5833,150.8552,61.38,82,100,4.0,AU,2022-10-04 20:54:52
158,Fortuna,40.5982,-124.1573,66.92,73,91,1.01,US,2022-10-04 20:54:52
159,Hami,42.8,93.45,55.92,48,100,14.38,CN,2022-10-04 20:54:53
160,Santona,43.4439,-3.4576,66.51,90,0,3.24,ES,2022-10-04 20:54:53
161,Nchelenge,-9.3451,28.734,75.65,40,44,3.47,ZM,2022-10-04 20:54:54
162,Isla Mujeres,21.2311,-86.731,84.16,56,7,11.97,MX,2022-10-04 20:54:54
163,Victoria,22.2855,114.1577,84.38,80,24,5.01,HK,2022-10-04 20:54:15
164,Vestmanna,62.1564,-7.1664,49.12,71,75,27.63,FO,2022-10-04 20:54:55
165,Thompson,55.7435,-97.8558,55.56,47,75,4.61,CA,2022-10-04 20:54:56
166,Pishva,35.308,51.7267,76.03,19,0,2.13,IR,2022-10-04 20:54:56
167,Qaanaaq,77.484,-69.3632,16.34,77,99,4.12,GL,2022-10-04 20:54:57
168,Punta Arenas,-53.15,-70.9167,55.51,47,0,27.63,CL,2022-10-04 20:54:57
169,Ruteng,-8.6136,120.4721,62.82,93,95,1.57,ID,2022-10-04 20:54:57
170,Torbay,47.6666,-52.7314,55.27,74,20,19.57,CA,2022-10-04 20:54:58
171,Skalanion,35.2826,25.1868,67.24,68,40,11.5,GR,2022-10-04 20:54:58
172,Talnakh,69.4865,88.3972,33.21,99,100,4.23,RU,2022-10-04 20:54:59
173,Vaitape,-16.5167,-151.75,77.49,77,24,23.13,PF,2022-10-04 20:54:59
174,Carnarvon,-24.8667,113.6333,66.13,72,0,11.25,AU,2022-10-04 20:54:59
175,Lompoc,34.6391,-120.4579,87.01,71,20,13.8,US,2022-10-04 20:55:00
176,Christchurch,-43.5333,172.6333,40.91,88,100,16.11,NZ,2022-10-04 20:51:36
177,Diego De Almagro,-26.3667,-70.05,69.8,21,0,9.73,CL,2022-10-04 20:51:29
178,Ouallam,14.3188,2.0866,93.29,35,65,13.24,NE,2022-10-04 20:55:01
179,Saint-Pierre,-21.3393,55.4781,66.18,82,20,3.44,RE,2022-10-04 20:55:01
180,Kruisfontein,-34.0033,24.7314,52.88,84,100,1.28,ZA,2022-10-04 20:56:02
181,Katobu,-4.9408,122.5276,74.75,93,100,3.38,ID,2022-10-04 20:56:02
182,Zonguldak,41.25,31.8333,51.78,92,95,2.01,TR,2022-10-04 20:56:03
183,Kuryk,43.2,51.65,66.13,26,5,21.9,KZ,2022-10-04 20:56:03
184,Sistranda,63.7256,8.834,51.76,90,100,22.46,NO,2022-10-04 20:56:04
185,New Norfolk,-42.7826,147.0587,42.93,75,100,0.58,AU,2022-10-04 20:56:04
186,Magadan,59.5667,150.8,27.54,88,100,9.48,RU,2022-10-04 20:56:05
187,Havoysund,70.9963,24.6622,44.83,81,4,16.6,NO,2022-10-04 20:56:05
188,Sladkovo,55.5284,70.3385,41.29,86,88,8.21,RU,2022-10-04 20:56:06
189,Avarua,-21.2078,-159.775,78.85,69,40,24.16,CK,2022-10-04 20:56:06
190,Rafaela,-31.2503,-61.4867,79.0,14,4,7.0,AR,2022-10-04 20:56:07
191,Samarai,-10.6167,150.6667,80.83,83,100,15.79,PG,2022-10-04 20:56:08
